Date,Store,Who,Generic,Cost,Item,Monthly Generic Sort,Annual Generic Sort,Year,Month,Y/M
20-Nov,FM,T,Canned Soup,3.5,Amys Lentil Kale,2023-11-Canned Soup,2023-Canned Soup,2023,11,2023-11
20-Nov,FM,T,Canned Soup,3.5,Amys Lentil Kale,2023-11-Canned Soup,2023-Canned Soup,2023,11,2023-11
20-Nov,FM,T,Canned Soup,3.5,Amys Lentil Kale,2023-11-Canned Soup,2023-Canned Soup,2023,11,2023-11
20-Nov,FM,T,Canned Soup,3.5,Amys Lentil Kale,2023-11-Canned Soup,2023-Canned Soup,2023,11,2023-11
20-Nov,FM,T,Canned Soup,3.5,Amys Lentil Kale,2023-11-Canned Soup,2023-Canned Soup,2023,11,2023-11
20-Nov,FM,T,Canned Soup,3.5,Amys Lentil Kale,2023-11-Canned Soup,2023-Canned Soup,2023,11,2023-11
20-Nov,FM,C,Canned Soup,3.49,Pacific Mushroom Soup,2023-11-Canned Soup,2023-Canned Soup,2023,11,2023-11
20-Nov,FM,C,Canned Soup,3.49,Pacific Mushroom Soup,2023-11-Canned Soup,2023-Canned Soup,2023,11,2023-11
20-Nov,FM,C,Dairy,2.39,Milk,2023-11-Dairy,2023-Dairy,2023,11,2023-11
20-Nov,Hag,C,Dairy,2.89,Milk,2023-11-Dairy,2023-Dairy,2023,11,2023-11
20-Nov,FM,C,Groceries,4.99,Reesers Mac Salad,2023-11-Groceries,2023-Groceries,2023,11,2023-11
20-Nov,FM,B,Groceries,3.99,Hummus,2023-11-Groceries,2023-Groceries,2023,11,2023-11
20-Nov,Hag,B,Groceries,14,Chocolat 2x,2023-11-Groceries,2023-Groceries,2023,11,2023-11
20-Nov,Hag,C,Meat,10.99,Sausage,2023-11-Meat,2023-Meat,2023,11,2023-11
20-Nov,FM,T,Produce,5.99,Organic Girl Spinich,2023-11-Produce,2023-Produce,2023,11,2023-11
20-Nov,FM,B,Produce,3.64,Mushrooms,2023-11-Produce,2023-Produce,2023,11,2023-11
20-Nov,FM,B,Produce,3.39,Asparagus,2023-11-Produce,2023-Produce,2023,11,2023-11
20-Nov,FM,B,Produce,2.91,Green Beans 1.46 lb,2023-11-Produce,2023-Produce,2023,11,2023-11
20-Nov,FM,B,Produce,1.98,Avacado,2023-11-Produce,2023-Produce,2023,11,2023-11
20-Nov,FM,B,Snacks,3.99,Tims Potato Chips,2023-11-Snacks,2023-Snacks,2023,11,2023-11
26-Nov,Hag,C,Beverages,7.99,Tonic Water,2023-11-Beverages,2023-Beverages,2023,11,2023-11
26-Nov,Hag,T,Beverages,7.49,Grapefruit Juice,2023-11-Beverages,2023-Beverages,2023,11,2023-11
26-Nov,Hag,T,Beverages,7.49,Grapefruit Juice,2023-11-Beverages,2023-Beverages,2023,11,2023-11
26-Nov,Hag,C,Beverages,7.49,Orange Juice,2023-11-Beverages,2023-Beverages,2023,11,2023-11
26-Nov,Hag,T,Canned Soup,4.49,Amys Lentil Kale,2023-11-Canned Soup,2023-Canned Soup,2023,11,2023-11
26-Nov,Hag,T,Canned Soup,4.49,Amys Lentil Kale,2023-11-Canned Soup,2023-Canned Soup,2023,11,2023-11
26-Nov,Hag,T,Canned Soup,4.49,Amys Lentil Kale,2023-11-Canned Soup,2023-Canned Soup,2023,11,2023-11
26-Nov,Hag,T,Canned Soup,4.49,Amys Lentil Kale,2023-11-Canned Soup,2023-Canned Soup,2023,11,2023-11
26-Nov,Hag,T,Canned Soup,4.49,Amys Lentil Kale,2023-11-Canned Soup,2023-Canned Soup,2023,11,2023-11
26-Nov,Hag,T,Canned Soup,4.49,Amys Lentil Kale,2023-11-Canned Soup,2023-Canned Soup,2023,11,2023-11
26-Nov,Hag,T,Canned Soup,4.49,Amys Lentil Kale,2023-11-Canned Soup,2023-Canned Soup,2023,11,2023-11
26-Nov,Hag,B,Dairy,4.79,Butter,2023-11-Dairy,2023-Dairy,2023,11,2023-11
26-Nov,Hag,C,Groceries,7.99,Tika Misala,2023-11-Groceries,2023-Groceries,2023,11,2023-11
26-Nov,Hag,C,Groceries,7.49,Indian Sauce,2023-11-Groceries,2023-Groceries,2023,11,2023-11
26-Nov,Hag,B,Groceries,6.49,Flour,2023-11-Groceries,2023-Groceries,2023,11,2023-11
26-Nov,Hag,C,Groceries,5.99,Peanut Butter,2023-11-Groceries,2023-Groceries,2023,11,2023-11
26-Nov,Hag,C,Groceries,4.99,Macaroni Salad,2023-11-Groceries,2023-Groceries,2023,11,2023-11
26-Nov,Hag,T,Groceries,3,Theo Bar,2023-11-Groceries,2023-Groceries,2023,11,2023-11
26-Nov,Hag,B,Groceries,2.29,Pasta,2023-11-Groceries,2023-Groceries,2023,11,2023-11
26-Nov,Hag,B,Groceries,2.29,Fettucini,2023-11-Groceries,2023-Groceries,2023,11,2023-11
26-Nov,Hag,B,Groceries,2.29,Fettucini,2023-11-Groceries,2023-Groceries,2023,11,2023-11
26-Nov,Hag,B,Groceries,2.29,Pennne,2023-11-Groceries,2023-Groceries,2023,11,2023-11
26-Nov,Hag,B,Groceries,1.89,Yeast,2023-11-Groceries,2023-Groceries,2023,11,2023-11
26-Nov,Hag,C,Meat,10.69,Chicken,2023-11-Meat,2023-Meat,2023,11,2023-11
26-Nov,Hag,C,Meat,8.99,Bacon,2023-11-Meat,2023-Meat,2023,11,2023-11
26-Nov,Hag,T,Produce,4.99,Organic Girl Spinich,2023-11-Produce,2023-Produce,2023,11,2023-11
26-Nov,Hag,B,Produce,3.49,Carrots Bunch Org,2023-11-Produce,2023-Produce,2023,11,2023-11
26-Nov,Hag,C,Produce,2.5,Spinach Bunch,2023-11-Produce,2023-Produce,2023,11,2023-11
26-Nov,Hag,B,Produce,2,Red Bell Pepper,2023-11-Produce,2023-Produce,2023,11,2023-11
26-Nov,Hag,B,Produce,2,Red Bell Pepper,2023-11-Produce,2023-Produce,2023,11,2023-11
26-Nov,Hag,C,Produce,1.52,Parsnips,2023-11-Produce,2023-Produce,2023,11,2023-11
26-Nov,Hag,B,Produce,1.5,Corn,2023-11-Produce,2023-Produce,2023,11,2023-11
26-Nov,Hag,B,Produce,1.5,Corn,2023-11-Produce,2023-Produce,2023,11,2023-11
26-Nov,Hag,B,Produce,1.43,Carrots Bulk,2023-11-Produce,2023-Produce,2023,11,2023-11
26-Nov,Hag,C,Produce,1.27,Beets,2023-11-Produce,2023-Produce,2023,11,2023-11
26-Nov,Hag,C,Produce,1.25,Limes,2023-11-Produce,2023-Produce,2023,11,2023-11
26-Nov,Hag,C,Produce,1.25,Limes,2023-11-Produce,2023-Produce,2023,11,2023-11
26-Nov,Hag,C,Produce,1.17,Turnips,2023-11-Produce,2023-Produce,2023,11,2023-11
26-Nov,Hag,C,Produce,0.62,Rutabega,2023-11-Produce,2023-Produce,2023,11,2023-11
27-Nov,Bay View,C,Groceries,8.99,Scones,2023-11-Groceries,2023-Groceries,2023,11,2023-11
27-Nov,Bay View,T,Produce,7.99,Organic Girl Spinich,2023-11-Produce,2023-Produce,2023,11,2023-11
27-Nov,Bay View,B,Produce,2.03,Garlic,2023-11-Produce,2023-Produce,2023,11,2023-11
27-Nov,Bay View,B,Produce,0.99,Avacado,2023-11-Produce,2023-Produce,2023,11,2023-11
27-Nov,Bay View,B,Produce,0.99,Avacado,2023-11-Produce,2023-Produce,2023,11,2023-11
27-Nov,Bay View,C,Wine,10.99,Red Bordeau,2023-11-Wine,2023-Wine,2023,11,2023-11
30-Nov,Bay View,T,Beverages,5.49,Grapefruit Juice,2023-11-Beverages,2023-Beverages,2023,11,2023-11
30-Nov,Bay View,C,Dairy,3.19,Milk,2023-11-Dairy,2023-Dairy,2023,11,2023-11
30-Nov,Bay View,T,Produce,7.99,Organic Girl Spinich,2023-11-Produce,2023-Produce,2023,11,2023-11
30-Nov,Bay View,C,Produce,2.91,Tomatoes on the Vine,2023-11-Produce,2023-Produce,2023,11,2023-11
30-Nov,Bay View,B,Produce,1.99,Green Onions,2023-11-Produce,2023-Produce,2023,11,2023-11
30-Nov,Bay View,B,Produce,1.99,Green Onions,2023-11-Produce,2023-Produce,2023,11,2023-11
30-Nov,Bay View,C,Produce,1.99,Spinach Bunch,2023-11-Produce,2023-Produce,2023,11,2023-11
30-Nov,Bay View,C,Produce,1.46,Yellow Onion,2023-11-Produce,2023-Produce,2023,11,2023-11
30-Nov,Bay View,B,Produce,0.99,Avacado,2023-11-Produce,2023-Produce,2023,11,2023-11
30-Nov,Bay View,B,Produce,0.99,Avacado,2023-11-Produce,2023-Produce,2023,11,2023-11
30-Nov,Bay View,C,Snacks,4.37,Water Crackers,2023-11-Snacks,2023-Snacks,2023,11,2023-11
1-Dec,Costco,B,Beverages,7.49,Still Water Bottled,2023-12-Beverages,2023-Beverages,2023,12,2023-12
1-Dec,Hag,B,Beverages,2.5,7-Up,2023-12-Beverages,2023-Beverages,2023,12,2023-12
1-Dec,Hag,B,Beverages,2.5,7-Up,2023-12-Beverages,2023-Beverages,2023,12,2023-12
1-Dec,Hag,B,Beverages,2.5,Coke,2023-12-Beverages,2023-Beverages,2023,12,2023-12
1-Dec,Hag,B,Beverages,2.5,Coke,2023-12-Beverages,2023-Beverages,2023,12,2023-12
1-Dec,Safeway,T,Beverages,6.49,Perier,2023-12-Beverages,2023-Beverages,2023,12,2023-12
1-Dec,Safeway,T,Beverages,6.49,Perier,2023-12-Beverages,2023-Beverages,2023,12,2023-12
1-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
1-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
1-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
1-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
1-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
1-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
1-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
1-Dec,Costco,C,Dairy,11.99,Gruyere Cheese,2023-12-Dairy,2023-Dairy,2023,12,2023-12
1-Dec,Costco,B,Groceries,17.99,Olive Oil,2023-12-Groceries,2023-Groceries,2023,12,2023-12
1-Dec,Costco,B,Groceries,17.99,Olive Oil,2023-12-Groceries,2023-Groceries,2023,12,2023-12
1-Dec,Costco,C,Meat,14.99,Tika Misala,2023-12-Meat,2023-Meat,2023,12,2023-12
1-Dec,Costco,C,Meat,11.99,Gyro Meat,2023-12-Meat,2023-Meat,2023,12,2023-12
1-Dec,Costco,C,Meat,9.99,Bao,2023-12-Meat,2023-Meat,2023,12,2023-12
1-Dec,Costco,C,Meat,9.99,Tapas Sausage,2023-12-Meat,2023-Meat,2023,12,2023-12
1-Dec,Costco,C,Meat,4.99,Rotiserie Chicken,2023-12-Meat,2023-Meat,2023,12,2023-12
1-Dec,Hag,C,Produce,2.5,Romain,2023-12-Produce,2023-Produce,2023,12,2023-12
1-Dec,Hag,C,Produce,1.5,Green Bell Pepper,2023-12-Produce,2023-Produce,2023,12,2023-12
1-Dec,Hag,C,Produce,1.5,Green Bell Pepper,2023-12-Produce,2023-Produce,2023,12,2023-12
1-Dec,Costco,B,Snacks,13.99,Organic Cashews,2023-12-Snacks,2023-Snacks,2023,12,2023-12
1-Dec,Costco,B,Snacks,8.49,Cars,2023-12-Snacks,2023-Snacks,2023,12,2023-12
