OPCODE,MODE,QUAL,TOTAL ELAPSED,CALLS,
Update,Update,Scalar,547027592,1989335,
==,,,85905647,558514,
FetchIndexed,Var,,55906756,207019,
Inc,Var,,163739584,2053162,
FunctionCall,Builtin,Fwriteln,132668,198,
<,Var,,23819565,207021,
<,,,162572583,1453297,
FunctionCall,Builtin,Split,247457,198,
Append,,,1441176,7416,
!,,,5913,39,
LengthOf,Var,,341809280,3485659,
Push,Arg,,51243099,268896,
FunctionCall,Builtin,Substr,80917863,186171,
BlockBegin,,,227459725,2114778,
FunctionCall,Builtin,Regex,4372456,38,
FunctionCall,Builtin,Match,2944268392,1445942,
Jf,Jump,,482176931,3813669,
FunctionCall,Function,,63894205,134448,
Pop,,,630956,7568,
Continue,,,41164355,192648,
Push,Var,Scalar,1136777024,5668918,
Return,,,8422964,134448,
PushNewCollection,Array,,632985,7219,
Push,Var,VarRef,998346169,5275601,
FunctionCall,Builtin,Fread,39654416,1,
PushNewCollection,Dict,,1042,2,
Bl,Bl,,159861007,1980329,
Concat,,,66662021,194475,
FunctionCall,Builtin,Contains,2588449,7354,
FunctionCall,Builtin,Sort,860416,1,
Eprintln,,,29584,6,
BlockEnd,,,167503301,1340848,
FunctionCall,Builtin,Fopen,201250,3,
FunctionCall,Builtin,Feof,20791,39,
FunctionCall,Builtin,Insert,6877952,7366,
FunctionCall,Builtin,Keys,1615666,1,
>,,,182772165,1452997,
FetchIndexed,,,224080545,1633059,
FunctionCall,Builtin,Capture,4109922794,172341,
Alloc,Alloc,,239108934,1768488,
AddEq,Update,,196719,572,
FunctionCall,Builtin,Freadln,49997,38,
Push,Lit,,681901676,4480863,
J,Jump,,262757260,3352461,
