OPCODE,MODE,QUAL,TOTAL ELAPSED,CALLS,
Eprint,,,391,24,
Push,Var,VarRef,1026373,5275601,
FunctionCall,Builtin,Keys,2239,1,
AddEq,Update,,178007,1846715,
FunctionCall,Builtin,Fread,39349,1,
FunctionCall,Builtin,Freadln,63,38,
FunctionCall,Builtin,Substr,84281,186171,
Eprintln,,,21,6,
BlockBegin,,,229076,2114802,
==,,,113124,758516,
FunctionCall,Builtin,Sort,845,1,
Concat,,,71540,194499,
<,,,163140,1453297,
Push,Var,Scalar,1208958,5868944,
FunctionCall,Builtin,Regex,4473,38,
Inc,Var,,17116,207019,
FunctionCall,Builtin,Insert,7880,7366,
Bitwise And,,,27345,200002,
Jf,Jump,,500344,4013671,
Update,Update,Scalar,567999,1989335,
>,,,177018,1452997,
BlockEnd,,,167874,1340872,
Continue,,,45200,192648,
Return,,,8081,134448,
FunctionCall,Function,,65996,134448,
PushNewCollection,Array,,656,7219,
FunctionCall,Builtin,Fopen,359,3,
FunctionCall,Builtin,Split,289,198,
FunctionCall,Builtin,Capture,4870859,172341,
Push,Lit,,1031661,6727034,
FunctionCall,Builtin,Fwriteln,206,198,
FunctionCall,Builtin,Contains,2820,7354,
Append,,,1521,7416,
<,Var,,23878,207021,
J,Jump,,277566,3552463,
Pop,,,615,7568,
FetchIndexed,Var,,51901,207019,
!,,,5,39,
Bl,Bl,,161281,1980353,
PushNewCollection,Dict,,0,2,
Push,Arg,,51061,268896,
FunctionCall,Builtin,Match,3026385,1445942,
Alloc,Alloc,,237870,1768488,
FunctionCall,Builtin,Feof,18,39,
FetchIndexed,,,229260,1633059,
LengthOf,Var,,338186,3485659,
