OPCODE,MODE,QUAL,TOTAL ELAPSED,CALLS,
FunctionCall,Builtin,Fwriteln,181,198,
Push,Var,VarRef,1040647,5275601,
Push,Arg,,51152,268896,
Jf,Jump,,471965,3813669,
FetchIndexed,Var,,50848,207019,
FunctionCall,Builtin,Substr,84964,186171,
FunctionCall,Builtin,Split,270,198,
FunctionCall,Function,,64199,134448,
LengthOf,Var,,340200,3485659,
<,,,162848,1453297,
J,Jump,,261756,3352461,
FunctionCall,Builtin,Freadln,68,38,
FunctionCall,Builtin,Fopen,306,3,
!,,,6,39,
FunctionCall,Builtin,Regex,4595,38,
<,Var,,23610,207021,
FunctionCall,Builtin,Contains,2761,7354,
Return,,,8110,134448,
FunctionCall,Builtin,Match,3029154,1445942,
Continue,,,42364,192648,
FunctionCall,Builtin,Feof,21,39,
FunctionCall,Builtin,Keys,2260,1,
FunctionCall,Builtin,Insert,8122,7366,
==,,,88563,558514,
Push,Lit,,681659,4480863,
FunctionCall,Builtin,Fread,38826,1,
Update,Update,Scalar,567977,1989335,
Append,,,1559,7416,
Inc,Var,,162570,2053162,
Pop,,,617,7568,
FetchIndexed,,,231208,1633059,
Concat,,,69845,194475,
BlockBegin,,,233720,2114778,
>,,,180808,1452997,
Eprintln,,,31,6,
FunctionCall,Builtin,Sort,845,1,
Bl,Bl,,159960,1980329,
PushNewCollection,Dict,,0,2,
AddEq,Update,,205,572,
Push,Var,Scalar,1184411,5668918,
Alloc,Alloc,,236374,1768488,
BlockEnd,,,167945,1340848,
PushNewCollection,Array,,639,7219,
FunctionCall,Builtin,Capture,4652024,172341,
