OPCODE,MODE,QUAL,TOTAL ELAPSED,CALLS,
J,Jump,,140297,3352461,
FunctionCall,Builtin,Sort,807,1,
!,,,4,39,
<,Var,,16596,207021,
Push,Arg,,27123,268896,
FetchIndexed,,,161164,1633059,
Continue,,,34108,192648,
FunctionCall,Builtin,Contains,2009,7354,
Push,Lit,,283474,4480863,
Alloc,Alloc,,130124,1768488,
LengthOf,Var,,200301,3485659,
FunctionCall,Builtin,Fread,36795,1,
PushNewCollection,Array,,399,7219,
Push,Var,Scalar,633834,5668918,
FunctionCall,Builtin,Substr,67720,186171,
FunctionCall,Builtin,Match,2828193,1445942,
Jf,Jump,,248378,3813669,
Return,,,6401,134448,
FunctionCall,Builtin,Freadln,50,38,
Append,,,999,7416,
AddEq,Update,,175,572,
<,,,115613,1453297,
FunctionCall,Builtin,Capture,4159564,172341,
Concat,,,55709,194475,
FunctionCall,Builtin,Keys,1402,1,
Pop,,,358,7568,
FunctionCall,Builtin,Fopen,298,3,
PushNewCollection,Dict,,0,2,
Push,Var,VarRef,491769,5275601,
>,,,128796,1452997,
Inc,Var,,90749,2053162,
FunctionCall,Builtin,Insert,5866,7366,
FunctionCall,Function,,51831,134448,
Bl,Bl,,88798,1980329,
Eprintln,,,27,6,
==,,,65824,558514,
FunctionCall,Builtin,Feof,13,39,
BlockEnd,,,123348,1340848,
BlockBegin,,,100125,2114778,
FunctionCall,Builtin,Fwriteln,151,198,
FunctionCall,Builtin,Split,249,198,
FunctionCall,Builtin,Regex,4022,38,
FetchIndexed,Var,,48972,207019,
Update,Update,Scalar,310482,1989335,
